Hduj_gnl_WGS_MTYJ_mrna.BV898_00178.1	Hduj_1_178
Hduj_gnl_WGS_MTYJ_mrna.BV898_00179.1	Hduj_1_179
Hduj_gnl_WGS_MTYJ_mrna.BV898_00180.1	Hduj_1_180
Hduj_gnl_WGS_MTYJ_mrna.BV898_00181.1	Hduj_1_181
Hduj_gnl_WGS_MTYJ_mrna.BV898_00182.1	Hduj_1_182
Hduj_gnl_WGS_MTYJ_mrna.BV898_00183.1	Hduj_1_183
Hduj_gnl_WGS_MTYJ_mrna.BV898_00184.1	Hduj_1_184
Hduj_gnl_WGS_MTYJ_mrna.BV898_00185.1	Hduj_1_185
Hduj_gnl_WGS_MTYJ_mrna.BV898_00186.1	Hduj_1_186
Hduj_gnl_WGS_MTYJ_mrna.BV898_00187.1	Hduj_1_187
Hduj_gnl_WGS_MTYJ_mrna.BV898_00188.1	Hduj_1_188
Hduj_gnl_WGS_MTYJ_mrna.BV898_00189.1	Hduj_1_189
Hduj_gnl_WGS_MTYJ_mrna.BV898_00190.1	Hduj_1_190
Hduj_gnl_WGS_MTYJ_mrna.BV898_00191.1	Hduj_1_191
Hduj_gnl_WGS_MTYJ_mrna.BV898_00192.1	Hduj_1_192
Hduj_gnl_WGS_MTYJ_mrna.BV898_00193.2	Hduj_1_193
Hduj_gnl_WGS_MTYJ_mrna.BV898_00194.1	Hduj_1_194
Hduj_gnl_WGS_MTYJ_mrna.BV898_00195.1	Hduj_1_195
Hduj_gnl_WGS_MTYJ_mrna.BV898_00196.1	Hduj_1_196
Hduj_gnl_WGS_MTYJ_mrna.BV898_00197.1	Hduj_1_197
Hduj_gnl_WGS_MTYJ_mrna.BV898_00198.1	Hduj_1_198
Hduj_gnl_WGS_MTYJ_mrna.BV898_00199.1	Hduj_1_199
Hduj_gnl_WGS_MTYJ_mrna.BV898_00200.1	Hduj_1_200
Hduj_gnl_WGS_MTYJ_mrna.BV898_00201.1	Hduj_1_201
Hduj_gnl_WGS_MTYJ_mrna.BV898_00202.1	Hduj_1_202
Hduj_gnl_WGS_MTYJ_mrna.BV898_00203.1	Hduj_1_203
Hduj_gnl_WGS_MTYJ_mrna.BV898_00204.1	Hduj_1_204
Hduj_gnl_WGS_MTYJ_mrna.BV898_00205.1	Hduj_1_205
Hduj_gnl_WGS_MTYJ_mrna.BV898_00206.1	Hduj_1_206
Hduj_gnl_WGS_MTYJ_mrna.BV898_00207.2	Hduj_1_207
Hduj_gnl_WGS_MTYJ_mrna.BV898_00208.1	Hduj_1_208
Hduj_gnl_WGS_MTYJ_mrna.BV898_00209.1	Hduj_1_209
Hduj_gnl_WGS_MTYJ_mrna.BV898_00210.1	Hduj_1_210
Hduj_gnl_WGS_MTYJ_mrna.BV898_00211.1	Hduj_1_211
Hduj_gnl_WGS_MTYJ_mrna.BV898_00212.1	Hduj_1_212
Hduj_gnl_WGS_MTYJ_mrna.BV898_00213.1	Hduj_1_213
Hduj_gnl_WGS_MTYJ_mrna.BV898_00214.1	Hduj_1_214
Hduj_gnl_WGS_MTYJ_mrna.BV898_00215.1	Hduj_1_215
Hduj_gnl_WGS_MTYJ_mrna.BV898_00216.1	Hduj_1_216
Hduj_gnl_WGS_MTYJ_mrna.BV898_00217.1	Hduj_1_217
Hduj_gnl_WGS_MTYJ_mrna.BV898_00218.1	Hduj_1_218
Hduj_gnl_WGS_MTYJ_mrna.BV898_00219.1	Hduj_1_219
Hduj_gnl_WGS_MTYJ_mrna.BV898_00220.1	Hduj_1_220
Hduj_gnl_WGS_MTYJ_mrna.BV898_00221.1	Hduj_1_221
Hduj_gnl_WGS_MTYJ_mrna.BV898_00222.1	Hduj_1_222
Hduj_gnl_WGS_MTYJ_mrna.BV898_00223.1	Hduj_1_223
Hduj_gnl_WGS_MTYJ_mrna.BV898_00224.1	Hduj_1_224
Hduj_gnl_WGS_MTYJ_mrna.BV898_00225.1	Hduj_1_225
Hduj_gnl_WGS_MTYJ_mrna.BV898_00226.1	Hduj_1_226
Hduj_gnl_WGS_MTYJ_mrna.BV898_00227.1	Hduj_1_227
Hduj_gnl_WGS_MTYJ_mrna.BV898_00228.1	Hduj_1_228
Hduj_gnl_WGS_MTYJ_mrna.BV898_00229.1	Hduj_1_229
Hduj_gnl_WGS_MTYJ_mrna.BV898_00230.1	Hduj_1_230
Hduj_gnl_WGS_MTYJ_mrna.BV898_00231.1	Hduj_1_231
Hduj_gnl_WGS_MTYJ_mrna.BV898_00232.1	Hduj_1_232
Hduj_gnl_WGS_MTYJ_mrna.BV898_00233.1	Hduj_1_233
Hduj_gnl_WGS_MTYJ_mrna.BV898_00234.2	Hduj_1_234
Hduj_gnl_WGS_MTYJ_mrna.BV898_00235.1	Hduj_1_235
Hduj_gnl_WGS_MTYJ_mrna.BV898_00236.1	Hduj_1_236
Hduj_gnl_WGS_MTYJ_mrna.BV898_00237.1	Hduj_1_237
Hduj_gnl_WGS_MTYJ_mrna.BV898_00238.1	Hduj_1_238
Hduj_gnl_WGS_MTYJ_mrna.BV898_00239.1	Hduj_1_239
Hduj_gnl_WGS_MTYJ_mrna.BV898_00240.1	Hduj_1_240
