Tetwil_g6377.t1	Tetwil_5_49
Tetwil_g6378.t1	Tetwil_5_50
Tetwil_g6379.t1	Tetwil_5_51
Tetwil_g6380.t1	Tetwil_5_52
Tetwil_g6381.t1	Tetwil_5_53
Tetwil_g6382.t1	Tetwil_5_54
Tetwil_g6383.t1	Tetwil_5_55
Tetwil_g6384.t1	Tetwil_5_56
Tetwil_g6385.t1	Tetwil_5_57
Tetwil_g6386.t1	Tetwil_5_58
Tetwil_g6387.t2	Tetwil_5_59
Tetwil_g6388.t1	Tetwil_5_60
Tetwil_g6389.t1	Tetwil_5_61
Tetwil_g6390.t1	Tetwil_5_62
Tetwil_g6391.t1	Tetwil_5_63
Tetwil_g6392.t2	Tetwil_5_64
Tetwil_g6393.t1	Tetwil_5_65
Tetwil_g6394.t1	Tetwil_5_66
Tetwil_g6395.t1	Tetwil_5_67
Tetwil_g6396.t1	Tetwil_5_68
Tetwil_g6397.t1	Tetwil_5_69
Tetwil_g6398.t1	Tetwil_5_70
Tetwil_g6399.t1	Tetwil_5_71
Tetwil_g6400.t1	Tetwil_5_72
Tetwil_g6401.t1	Tetwil_5_73
Tetwil_g6402.t1	Tetwil_5_74
Tetwil_g6403.t1	Tetwil_5_75
Tetwil_g4850.t1	Tetwil_6_1
Tetwil_g4851.t1	Tetwil_6_2
Tetwil_g4852.t1	Tetwil_6_3
Tetwil_g4853.t1	Tetwil_6_4
Tetwil_g4854.t1	Tetwil_6_5
Tetwil_g4855.t2	Tetwil_6_6
Tetwil_g4856.t1	Tetwil_6_7
Tetwil_g4857.t1	Tetwil_6_8
Tetwil_g4858.t1	Tetwil_6_9
Tetwil_g4859.t1	Tetwil_6_10
Tetwil_g4860.t1	Tetwil_6_11
Tetwil_g4861.t2	Tetwil_6_12
Tetwil_g4862.t1	Tetwil_6_13
Tetwil_g4863.t1	Tetwil_6_14
Tetwil_g4864.t1	Tetwil_6_15
Tetwil_g4865.t1	Tetwil_6_16
Tetwil_g4866.t1	Tetwil_6_17
Tetwil_g4867.t1	Tetwil_6_18
Tetwil_g4868.t1	Tetwil_6_19
Tetwil_g4869.t1	Tetwil_6_20
Tetwil_g4870.t1	Tetwil_6_21
Tetwil_g4871.t2	Tetwil_6_22
Tetwil_g4872.t2	Tetwil_6_23
Tetwil_g4873.t2	Tetwil_6_24
Tetwil_g4874.t1	Tetwil_6_25
Tetwil_g4875.t2	Tetwil_6_26
Tetwil_g4876.t1	Tetwil_6_27
