Atha_AT2G15570.1	ATHM3
Atha_AT5G13780.1	NAA10
Atha_AT3G57020.2	SSL9
Atha_AT3G57020.1	SSL9
Atha_AT3G61070.1	PEX11E
Atha_AT3G61070.3	PEX11E
Atha_AT3G61070.2	PEX11E
Atha_AT3G25070.2	RIN4
Atha_AT3G25070.1	RIN4
Atha_AT1G09200.1	HTR2
Atha_AT2G46500.3	PI4KG4
Atha_AT2G46500.2	PI4KG4
Atha_AT2G46500.1	PI4KG4
Atha_AT1G15710.1	TYRAAT2
Atha_AT3G55090.1	ABCG16
Atha_AT5G02500.1	MED37E
Atha_AT5G02500.2	MED37E
Atha_AT3G62750.8	BGLU8
Atha_AT3G62750.5	BGLU8
Atha_AT3G62750.2	BGLU8
Atha_AT3G62750.6	BGLU8
Atha_AT3G62750.7	BGLU8
Atha_AT3G62750.1	BGLU8
Atha_AT3G62750.3	BGLU8
Atha_AT3G62750.4	BGLU8
Atha_AT2G26410.1	Iqd4
Atha_AT2G26410.2	Iqd4
Atha_AT2G44570.2	AtGH9B12
Atha_AT2G44570.1	AtGH9B12
Atha_AT5G04240.1	ELF6
Atha_AT3G15270.1	SPL5
Atha_AT5G65990.1	AVT3A
Atha_AT2G41290.1	SSL2
Atha_AT3G63380.1	ACA12
Atha_AT2G46480.3	GAUT2
Atha_AT2G46480.1	GAUT2
Atha_AT2G46480.4	GAUT2
Atha_AT2G46480.2	GAUT2
Atha_AT3G11730.1	RABD1
Atha_AT1G02065.2	SPL8
Atha_AT1G02065.1	SPL8
Atha_AT1G26360.1	MES13
Atha_AT2G34825.1	RALFL20
Atha_AT1G11290.1	PCMP-H40
Atha_AT3G54790.1	PUB3
Atha_AT3G54790.3	PUB3
Atha_AT3G54790.2	PUB3
Atha_AT3G08730.2	ATPK1
Atha_AT3G08730.1	ATPK1
Atha_AT1G24400.1	LHT2
Atha_AT2G38210.1	PDX1L4
Atha_AT5G57020.1	NMT1
Atha_AT4G04780.1	MED21
Atha_AT4G24015.1	RHA4A
Atha_AT1G01900.1	SBTI1.1
Atha_AT5G56010.1	HSP90-3
Atha_AT1G32330.1	HSFA1D
Atha_AT1G32330.2	HSFA1D
Atha_AT3G25570.1	SAMDC3
Atha_AT3G25570.2	SAMDC3
Atha_AT5G52230.1	MBD13
Atha_AT5G52230.3	MBD13
Atha_AT5G52230.2	MBD13
Atha_AT2G18650.1	ATL49
Atha_AT1G50960.1	GA2OX7
Atha_AT1G10960.1	FD1
Atha_AT2G21450.3	CHR34
Atha_AT2G21450.2	CHR34
Atha_AT2G21450.1	CHR34
Atha_AT5G24630.3	BIN4
Atha_AT5G24630.7	BIN4
Atha_AT5G24630.8	BIN4
Atha_AT5G24630.5	BIN4
Atha_AT5G24630.2	BIN4
Atha_AT5G24630.11	BIN4
Atha_AT5G24630.9	BIN4
Atha_AT5G24630.12	BIN4
Atha_AT5G24630.10	BIN4
Atha_AT5G24630.1	BIN4
Atha_AT5G24630.4	BIN4
Atha_AT5G24630.6	BIN4
