Scer_YNL282W	POP3
Scer_YMR146C	TIF34
Scer_YCR084C	TUP1
Scer_YNL096C	RPS7B
Scer_YMR251W-A	HOR7
Scer_YBR046C	ZTA1
Scer_YER059W	PCL6
Scer_YLR265C	NEJ1
Scer_YJL046W	AIM22
Scer_YEL061C	CIN8
Scer_YOR165W	SEY1
Scer_YIL148W	RPL40A
Scer_YAL041W	CDC24
Scer_YDR424C	DYN2
Scer_YDR194C	MSS116
Scer_YGR239C	PEX21
Scer_YBR108W	AIM3
Scer_YAL044W-A	BOL1
Scer_YOL023W	IFM1
Scer_YPL046C	ELC1
Scer_YDR141C	DOP1
Scer_YDR288W	NSE3
Scer_YBR194W	AIM4
Scer_YLR461W	PAU4
Scer_YOL108C	INO4
Scer_YJR148W	BAT2
Scer_YJL123C	MTC1
Scer_YMR247C	RKR1
Scer_YOL086C	ADH1
Scer_YNL287W	SEC21
Scer_YLL064C	PAU18
Scer_YMR152W	YIM1
Scer_YEL051W	VMA8
Scer_YHR021W-A	ECM12
Scer_YOL028C	YAP7
Scer_YMR267W	PPA2
Scer_YJL065C	DLS1
Scer_YLR154C	RNH203
Scer_YFL001W	DEG1
Scer_YMR230W	RPS10B
Scer_YCL073C	GEX1
Scer_YGR056W	RSC1
Scer_YLR154W-A	YLR154W-A
Scer_YDR051C	DET1
Scer_YNR060W	FRE4
Scer_YDR353W	TRR1
Scer_YKL089W	MIF2
Scer_YBR018C	GAL7
Scer_YKL044W	MMO1
Scer_YEL063C	CAN1
Scer_YHR053C	CUP1-1
Scer_YPR010C	RPA135
Scer_YLR199C	PBA1
Scer_YDR021W	FAL1
Scer_YPR079W	MRL1
Scer_YDL194W	SNF3
Scer_YDR049W	VMS1
Scer_YMR039C	SUB1
Scer_YKL026C	GPX1
Scer_YMR128W	ECM16
Scer_YGL238W	CSE1
Scer_YOR087W	YVC1
Scer_YPR095C	SYT1
Scer_YPL016W	SWI1
Scer_YJL041W	NSP1
Scer_YJR122W	IBA57
Scer_YER074W	RPS24A
Scer_YGL234W	ADE5,7
Scer_YJL033W	HCA4
Scer_YNL339C	YRF1-6
Scer_YBR066C	NRG2
Scer_YOL133W	HRT1
Scer_YDR388W	RVS167
Scer_YMR269W	TMA23
Scer_YPL260W	CUB1
Scer_YHR200W	RPN10
Scer_YMR188C	MRPS17
Scer_YGR264C	MES1
Scer_YHR069C	RRP4
Scer_YDR233C	RTN1
Scer_YBL048W	RRT1
Scer_YLR095C	IOC2
Scer_YDR235W	PRP42
Scer_YOL018C	TLG2
Scer_YEL013W	VAC8
Scer_YJL091C	GWT1
Scer_YOR045W	TOM6
Scer_YER087C-B	SBH1
Scer_YHR041C	SRB2
Scer_YER056C	FCY2
Scer_YBR095C	RXT2
Scer_YBL011W	SCT1
Scer_YDL137W	ARF2
Scer_YDL193W	NUS1
Scer_YCL061C	MRC1
Scer_YBL102W	SFT2
Scer_YOR065W	CYT1
Scer_YEL001C	IRC22
Scer_YGL164C	YRB30
Scer_YJL045W	YJL045W
Scer_YOR201C	MRM1
Scer_YKL006C-A	SFT1
Scer_YPL173W	MRPL40
Scer_YBL105C	PKC1
Scer_YLR162W-A	RRT15
Scer_YKL164C	PIR1
Scer_YDR490C	PKH1
Scer_YDR516C	EMI2
Scer_YKR096W	ESL2
Scer_YIL173W	VTH1
Scer_YMR171C	EAR1
Scer_YGR236C	SPG1
Scer_YML029W	USA1
Scer_YJL069C	UTP18
Scer_YNR037C	RSM19
Scer_YEL022W	GEA2
Scer_YKL054C	DEF1
Scer_YBL090W	MRP21
Scer_YDR347W	MRP1
Scer_YFR032C	RRT5
Scer_YJL130C	URA2
Scer_YHR042W	NCP1
Scer_YGL124C	MON1
Scer_YPL156C	PRM4
Scer_YLR148W	PEP3
Scer_YOR073W	SGO1
Scer_YER148W	SPT15
Scer_YML124C	TUB3
Scer_YDR452W	PPN1
Scer_YGR254W	ENO1
Scer_YLR243W	GPN3
Scer_YMR293C	HER2
Scer_YDR437W	GPI19
Scer_YOR064C	YNG1
Scer_YBR138C	YBR138C
Scer_YCR082W	AHC2
Scer_YAR015W	ADE1
Scer_YJL057C	IKS1
Scer_YDR529C	QCR7
Scer_YER086W	ILV1
Scer_YOR003W	YSP3
Scer_YOR051C	ETT1
Scer_YNL081C	SWS2
