Dmel_FBpp0112014	ND-B12
Dmel_FBpp0112015	ND-B12
Dmel_FBpp0289904	ND-B12
Dmel_FBpp0289903	ND-B12
Dmel_FBpp0110209	Cnx99A
Dmel_FBpp0084803	Cnx99A
Dmel_FBpp0306896	Cnx99A
Dmel_FBpp0084804	Cnx99A
Dmel_FBpp0084230	CG31099
Dmel_FBpp0110120	CG17271
Dmel_FBpp0083397	CG17271
Dmel_FBpp0291690	CG33461
Dmel_FBpp0086024	Vps50
Dmel_FBpp0082288	ninaB
Dmel_FBpp0080061	CG15480
Dmel_FBpp0074956	Adgf-A2
Dmel_FBpp0110144	Adgf-A2
Dmel_FBpp0110143	Adgf-A2
Dmel_FBpp0303716	CG43760
Dmel_FBpp0298032	CG9593
Dmel_FBpp0305470	Taf6
Dmel_FBpp0074709	Taf6
Dmel_FBpp0082843	CG31265
Dmel_FBpp0302955	qin
Dmel_FBpp0099886	grp
Dmel_FBpp0308597	grp
Dmel_FBpp0080441	grp
Dmel_FBpp0080442	grp
Dmel_FBpp0080443	grp
Dmel_FBpp0078979	Hmgcl
Dmel_FBpp0310331	Hmgcl
Dmel_FBpp0087149	CG8298
Dmel_FBpp0297145	CG8298
Dmel_FBpp0423058	CG30187
Dmel_FBpp0423057	CG30187
Dmel_FBpp0110218	Dys
Dmel_FBpp0083179	Dys
Dmel_FBpp0306629	Dys
Dmel_FBpp0110217	Dys
Dmel_FBpp0083180	Dys
Dmel_FBpp0110216	Dys
Dmel_FBpp0110215	Dys
Dmel_FBpp0306631	Dys
Dmel_FBpp0110219	Dys
Dmel_FBpp0306630	Dys
Dmel_FBpp0083178	Dys
Dmel_FBpp0306632	Dys
Dmel_FBpp0079584	SamDC
Dmel_FBpp0077697	aru
Dmel_FBpp0077695	aru
Dmel_FBpp0077696	aru
Dmel_FBpp0297532	CG16758
Dmel_FBpp0303831	CG16758
Dmel_FBpp0072833	CG16758
Dmel_FBpp0072834	CG16758
Dmel_FBpp0072836	CG16758
Dmel_FBpp0072835	CG16758
Dmel_FBpp0091049	CheA46a
Dmel_FBpp0084061	nAChRbeta2
Dmel_FBpp0084062	nAChRbeta2
Dmel_FBpp0288570	CG6938
Dmel_FBpp0303204	CG6938
Dmel_FBpp0288380	CG10559
Dmel_FBpp0309508	CG44521
Dmel_FBpp0304669	CG32537
Dmel_FBpp0074456	CG32537
Dmel_FBpp0075763	CG14130
Dmel_FBpp0083451	CG5862
Dmel_FBpp0070506	CG16781
Dmel_FBpp0302614	CG16781
Dmel_FBpp0111406	CG34297
Dmel_FBpp0087870	pnut
Dmel_FBpp0087869	pnut
Dmel_FBpp0072240	CG30161
Dmel_FBpp0087549	GstT2
Dmel_FBpp0086928	Balat
Dmel_FBpp0291008	Ptp4E
Dmel_FBpp0291007	Ptp4E
Dmel_FBpp0310132	Ptp4E
Dmel_FBpp0310133	Ptp4E
Dmel_FBpp0291010	Ptp4E
Dmel_FBpp0070693	Ptp4E
Dmel_FBpp0070692	Ptp4E
Dmel_FBpp0290782	CG42577
Dmel_FBpp0082346	Nsf2
Dmel_FBpp0311095	Nsf2
Dmel_FBpp0311094	Nsf2
Dmel_FBpp0292258	eIF4EHP
Dmel_FBpp0292259	eIF4EHP
Dmel_FBpp0289702	eIF4EHP
Dmel_FBpp0083972	eIF4EHP
Dmel_FBpp0086703	VGAT
Dmel_FBpp0088033	Orc1
Dmel_FBpp0076122	alphaTub67C
Dmel_FBpp0072881	spz5
Dmel_FBpp0084316	CG31089
Dmel_FBpp0309033	SP2353
Dmel_FBpp0086351	SP2353
Dmel_FBpp0083957	CG17786
Dmel_FBpp0293661	CG1971
Dmel_FBpp0085206	CG1971
Dmel_FBpp0085207	CG1971
Dmel_FBpp0310456	CG1971
Dmel_FBpp0070376	CG3457
Dmel_FBpp0311677	CG3457
Dmel_FBpp0088739	Arv1
Dmel_FBpp0271929	Arv1
Dmel_FBpp0088738	Arv1
Dmel_FBpp0070006	CG9577
Dmel_FBpp0085953	Dgp-1
Dmel_FBpp0085952	Dgp-1
Dmel_FBpp0078130	CG7470
Dmel_FBpp0301603	CG7470
Dmel_FBpp0289533	Sfp26Ac
Dmel_FBpp0310768	ringer
Dmel_FBpp0310766	ringer
Dmel_FBpp0310769	ringer
Dmel_FBpp0310767	ringer
Dmel_FBpp0291715	CG42661
Dmel_FBpp0312124	CG42661
Dmel_FBpp0070066	CG3777
Dmel_FBpp0070067	CG3777
Dmel_FBpp0070065	CG3777
Dmel_FBpp0309733	CG3777
Dmel_FBpp0310562	CG3777
Dmel_FBpp0086876	Fsn
Dmel_FBpp0086875	Fsn
Dmel_FBpp0292116	CG42710
Dmel_FBpp0086061	Dcr-2
Dmel_FBpp0309192	Dcr-2
Dmel_FBpp0077760	galectin
Dmel_FBpp0297498	galectin
Dmel_FBpp0290947	galectin
Dmel_FBpp0304069	galectin
Dmel_FBpp0291374	galectin
Dmel_FBpp0070395	CG2918
Dmel_FBpp0290016	CG2918
Dmel_FBpp0290315	by
Dmel_FBpp0081597	by
Dmel_FBpp0291577	by
Dmel_FBpp0084843	yata
Dmel_FBpp0305956	yata
Dmel_FBpp0301047	CG34031
Dmel_FBpp0271945	Cubn
Dmel_FBpp0078731	CG31648
Dmel_FBpp0302981	SCAR
Dmel_FBpp0293779	SCAR
Dmel_FBpp0079737	SCAR
Dmel_FBpp0309198	SCAR
Dmel_FBpp0302982	SCAR
Dmel_FBpp0293780	SCAR
Dmel_FBpp0078326	Sec8
Dmel_FBpp0110114	CG34117
Dmel_FBpp0075134	retinin
Dmel_FBpp0080550	qua
Dmel_FBpp0080549	qua
Dmel_FBpp0297295	qua
Dmel_FBpp0085713	CG11257
Dmel_FBpp0298280	Parg
Dmel_FBpp0298281	Parg
Dmel_FBpp0309752	Rtf1
Dmel_FBpp0071731	Rtf1
Dmel_FBpp0308328	salt
Dmel_FBpp0290137	salt
Dmel_FBpp0076897	Sep1
Dmel_FBpp0288494	CG31370
Dmel_FBpp0303313	ms(3)76Ba
Dmel_FBpp0293185	CG43060
Dmel_FBpp0293186	CG43060
Dmel_FBpp0077203	CG31957
Dmel_FBpp0306862	CG31957
Dmel_FBpp0312048	CG4645
Dmel_FBpp0073525	CG4645
Dmel_FBpp0310242	CG4645
Dmel_FBpp0073761	sbm
Dmel_FBpp0310023	sbm
Dmel_FBpp0073760	sbm
Dmel_FBpp0310022	sbm
Dmel_FBpp0308321	Sp7
Dmel_FBpp0308322	Sp7
Dmel_FBpp0081237	Sp7
Dmel_FBpp0423163	Sap47
Dmel_FBpp0290869	Sap47
Dmel_FBpp0082663	Sap47
Dmel_FBpp0423164	Sap47
Dmel_FBpp0082662	Sap47
Dmel_FBpp0082659	Sap47
Dmel_FBpp0082661	Sap47
Dmel_FBpp0082660	Sap47
Dmel_FBpp0302792	Sap47
Dmel_FBpp0082664	Sap47
Dmel_FBpp0082658	Sap47
Dmel_FBpp0310757	Sap47
Dmel_FBpp0112153	CG8925
Dmel_FBpp0082707	CG8925
Dmel_FBpp0091075	His2A:CG33829
