Aque_Aqu2.1.17407_001	SNF2_N Helicase_C
Aque_Aqu2.1.18657_001	p450 p450 SNF2_N
Aque_Aqu2.1.19801_001	SNF2_N Helicase_C
Aque_Aqu2.1.20201_001	SNF2_N
Aque_Aqu2.1.22801_001	SNF2_N Helicase_C
Aque_Aqu2.1.23472_001	Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2
Aque_Aqu2.1.26647_001	QLQ HSA BRK SNF2_N Helicase_C SnAC Bromodomain
Aque_Aqu2.1.28623_001	SNF2_N
Aque_Aqu2.1.29139_001	DBINO SNF2_N Helicase_C
Aque_Aqu2.1.29668_001	Chromo Chromo SNF2_N Helicase_C
Aque_Aqu2.1.29700_001	SNF2_N
Aque_Aqu2.1.29704_001	p450 SNF2_N
Aque_Aqu2.1.30578_001	SNF2_N Helicase_C
Aque_Aqu2.1.30878_001	SNF2_N Helicase_C
Aque_Aqu2.1.31461_001	SNF2_N
Aque_Aqu2.1.31536_001	HSA SNF2_N Helicase_C
Aque_Aqu2.1.37815_001	Chromo Chromo SNF2_N Helicase_C CDH1_2_SANT_HL1 DUF4208
Aque_Aqu2.1.40022_001	SNF2_N Helicase_C
Aque_Aqu2.1.41304_001	SNF2_N Helicase_C HAND SLIDE
Aque_Aqu2.1.41320_001	SNF2_N Helicase_C
Aque_Aqu2.1.41368_001	HARP SNF2_N Helicase_C
Aque_Aqu2.1.42626_001	SNF2_N Helicase_C
Aque_Aqu2.1.43314_001	DUF3535 SNF2_N Helicase_C
Atha_AT1G02670.3	SNF2_N Helicase_C
Atha_AT1G03750.1	SNF2_N Helicase_C
Atha_AT1G05120.2	SNF2_N zf-C3HC4 Helicase_C
Atha_AT1G05490.1	SNF2_N Helicase_C
Atha_AT1G08600.2	SNF2_N Helicase_C
Atha_AT1G11100.4	SNF2_N zf-C3HC4 Helicase_C
Atha_AT1G48310.2	SNF2_N Helicase_C
Atha_AT1G50410.1	SNF2_N zf-C3HC4_3 Helicase_C
Atha_AT1G61140.1	SNF2_N zf-C3HC4_2 Helicase_C
Atha_AT2G02090.1	SNF2_N Helicase_C
Atha_AT2G13370.1	Chromo SNF2_N Helicase_C DUF4208
Atha_AT2G16390.2	SNF2_N Helicase_C
Atha_AT2G18760.3	SNF2_N Helicase_C
Atha_AT2G21450.2	SNF2_N Helicase_C
Atha_AT2G25170.3	PHD Chromo Chromo SNF2_N Helicase_C DUF1087 DUF1086
Atha_AT2G28290.5	SNF2_N Helicase_C SnAC
Atha_AT2G40770.1	SNF2_N Helicase_C
Atha_AT2G44980.2	SNF2_N Helicase_C
Atha_AT2G46020.2	SNF2_N Helicase_C
Atha_AT3G06010.1	SNF2_N Helicase_C SnAC
Atha_AT3G06400.3	SNF2_N Helicase_C HAND SLIDE
Atha_AT3G12810.1	HSA SNF2_N Helicase_C
Atha_AT3G16600.1	SNF2_N zf-C3HC4_2 Helicase_C
Atha_AT3G19210.1	SNF2_N Helicase_C
Atha_AT3G20010.1	SNF2_N zf-C3HC4 Helicase_C
