gene	name
Hsap_ENSG00000180113_TDRD6	TDRD6
Hsap_ENSG00000182134_TDRKH	TDRKH
Hsap_ENSG00000196116_TDRD7	TDRD7
Hsap_ENSG00000196335_STK31	STK31
Hsap_ENSG00000197157_SND1	SND1
Hsap_ENSG00000218819_TDRD15	TDRD15
Hsap_ENSG00000072609_CHFR	CHFR
Hsap_ENSG00000169621_APLF	APLF
Hsap_ENSG00000078487_ZCWPW1	ZCWPW1
Hsap_ENSG00000114487_MORC1	MORC1
Hsap_ENSG00000133131_MORC4	MORC4
Hsap_ENSG00000133422_MORC2	MORC2
Hsap_ENSG00000159256_MORC3	MORC3
Hsap_ENSG00000165097_KDM1B	KDM1B
Hsap_ENSG00000206559_ZCWPW2	ZCWPW2
Hsap_ENSG00000283563_AC098650	AC098650
